S.No,Player,Nation,Pos,Squad,Comp,Age,Born,Matches,Min,Goals,Assist,G+A,CrdY,CrdR,FK,Tkl%,Lost,Pass
952,Tiago Gabriel,pt POR,DF,Lecce,it Serie A,19,2004,2,96,0,0,0,0,0,0,,0,2
953,Alessandro Gabrielloni,it ITA,"FW,MF",Como,it Serie A,30,1994,15,142,1,1,2,1,0,0,0,3,0
954,Gianluca Gaetano,it ITA,"MF,FW",Cagliari,it Serie A,24,2000,28,1009,2,4,6,0,0,2,33.3,10,8
955,Roberto Gagliardini,it ITA,"MF,DF",Monza,it Serie A,30,1994,8,180,0,0,0,1,0,0,25,3,1
956,Cody Gakpo,nl NED,FW,Liverpool,eng Premier League,25,1999,35,1935,10,4,14,5,0,0,52,12,20
957,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,29,1994,25,1784,0,3,3,8,0,0,51,24,10
958,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,30,1993,26,1477,0,4,4,5,0,0,64.5,11,7
959,Conor Gallagher,eng ENG,MF,Atlético Madrid,es La Liga,24,2000,32,1633,3,3,6,2,0,0,44.9,27,18
960,Antonino Gallo,it ITA,DF,Lecce,it Serie A,24,2000,31,2609,0,2,2,3,1,2,54.8,28,27
961,Gauthier Gallon,fr FRA,GK,Rennes,fr Ligue 1,31,1993,1,45,0,0,0,0,0,0,,0,0
962,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,34,1989,12,226,1,0,1,1,0,0,33.3,6,2
963,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,34,1989,37,3063,0,3,3,9,0,0,58.6,41,39
964,Ignatius Ganago,cm CMR,"FW,MF",Nantes,fr Ligue 1,25,1999,11,241,0,0,0,1,0,0,50,1,2
965,Silvère Ganvoula M'Boussy,cg CGO,FW,Monza,it Serie A,28,1996,7,326,0,0,0,0,0,0,0,1,1
966,Facundo Garcés,my MAS,DF,Alavés,es La Liga,24,1999,10,678,0,0,0,2,0,0,60,2,2
967,Aleix García,es ESP,MF,Leverkusen,de Bundesliga,27,1997,28,1455,3,4,7,3,0,2,46.7,8,10
968,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,es La Liga,31,1992,36,2559,4,5,9,4,0,0,38.7,19,31
969,Andrés García,es ESP,"DF,MF",Aston Villa,eng Premier League,21,2003,7,318,0,0,0,0,0,0,50,4,2
970,Eric García,es ESP,"DF,MF",Barcelona,es La Liga,23,2001,29,1566,2,3,5,4,0,0,69,9,16
971,Fran Garcia,es ESP,DF,Real Madrid,es La Liga,24,1999,31,2171,0,2,2,0,0,0,54.9,23,22
972,Gonzalo García,es ESP,"FW,DF",Real Madrid,es La Liga,20,2004,3,56,0,1,1,0,0,0,,0,1
973,Joan García,es ESP,GK,Espanyol,es La Liga,23,2001,38,3420,0,0,0,2,0,0,0,1,1
974,Pablo Garcia,es ESP,FW,Betis,es La Liga,17,2006,3,38,0,0,0,0,0,0,,0,1
975,Rubén García,es ESP,"FW,MF",Osasuna,es La Liga,31,1993,36,2413,5,5,10,2,0,3,43.3,34,34
976,Ulisses Garcia,ch SUI,DF,Marseille,fr Ligue 1,28,1996,20,930,2,2,4,2,0,0,28.6,10,4
977,Unai García,es ESP,DF,Osasuna,es La Liga,32,1992,3,65,0,0,0,0,0,0,,0,1
978,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,eng Premier League,20,2004,36,2199,6,2,8,3,0,0,32.4,25,19
979,James Garner,eng ENG,"MF,DF",Everton,eng Premier League,23,2001,21,1594,0,1,1,5,0,1,58.5,17,16
980,Yarek Gasiorowski,es ESP,DF,Valencia,es La Liga,19,2005,15,947,0,0,0,1,0,0,69.2,4,11
981,Federico Gatti,it ITA,DF,Juventus,it Serie A,26,1998,30,2195,1,0,1,2,0,0,58.3,10,9
982,Gavi,es ESP,"MF,FW",Barcelona,es La Liga,19,2004,26,1085,1,1,2,4,0,0,57.7,11,13
983,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,32,1992,36,3195,0,0,0,4,0,0,100,0,1
